block,timestamp,total_transactions,our_transactions,total_tps,our_tps
28826,2025-07-18T12:01:20.631Z,0,0,0.00,0.00
28827,2025-07-18T12:01:20.717Z,0,0,0.00,0.00
28828,2025-07-18T12:01:20.814Z,0,0,0.00,0.00
28829,2025-07-18T12:01:20.914Z,0,0,0.00,0.00
28830,2025-07-18T12:01:21.020Z,0,0,0.00,0.00
28831,2025-07-18T12:01:21.117Z,0,0,0.00,0.00
28832,2025-07-18T12:01:21.217Z,1,0,10.26,0.00
28833,2025-07-18T12:01:21.312Z,0,0,0.00,0.00
28834,2025-07-18T12:01:21.412Z,0,0,0.00,0.00
28835,2025-07-18T12:01:21.518Z,0,0,0.00,0.00
28836,2025-07-18T12:01:21.613Z,0,0,0.00,0.00
28837,2025-07-18T12:01:21.713Z,0,0,0.00,0.00
28838,2025-07-18T12:01:21.813Z,0,0,0.00,0.00
28839,2025-07-18T12:01:21.918Z,0,0,0.00,0.00
28840,2025-07-18T12:01:22.019Z,0,0,0.00,0.00
28841,2025-07-18T12:01:22.112Z,0,0,0.00,0.00
28842,2025-07-18T12:01:22.220Z,1,0,10.07,0.00
28843,2025-07-18T12:01:22.317Z,0,0,0.00,0.00
28844,2025-07-18T12:01:22.414Z,0,0,0.00,0.00
28845,2025-07-18T12:01:22.520Z,0,0,0.00,0.00
28846,2025-07-18T12:01:22.614Z,0,0,0.00,0.00
28847,2025-07-18T12:01:22.712Z,0,0,0.00,0.00
28848,2025-07-18T12:01:22.814Z,0,0,0.00,0.00
28849,2025-07-18T12:01:22.913Z,0,0,0.00,0.00
28850,2025-07-18T12:01:23.020Z,0,0,0.00,0.00
28851,2025-07-18T12:01:23.117Z,0,0,0.00,0.00
28852,2025-07-18T12:01:23.215Z,1,0,10.07,0.00
28853,2025-07-18T12:01:23.314Z,0,0,0.00,0.00
28854,2025-07-18T12:01:23.415Z,0,0,0.00,0.00
28855,2025-07-18T12:01:23.513Z,0,0,0.00,0.00
28856,2025-07-18T12:01:23.611Z,0,0,0.00,0.00
28857,2025-07-18T12:01:23.711Z,0,0,0.00,0.00
28858,2025-07-18T12:01:23.812Z,0,0,0.00,0.00
28859,2025-07-18T12:01:23.914Z,0,0,0.00,0.00
28860,2025-07-18T12:01:24.012Z,0,0,0.00,0.00
28861,2025-07-18T12:01:24.112Z,0,0,0.00,0.00
28862,2025-07-18T12:01:24.217Z,1,0,10.04,0.00
28863,2025-07-18T12:01:24.311Z,0,0,0.00,0.00
28864,2025-07-18T12:01:24.425Z,0,0,0.00,0.00
28865,2025-07-18T12:01:24.522Z,0,0,0.00,0.00
28866,2025-07-18T12:01:24.621Z,0,0,0.00,0.00
28867,2025-07-18T12:01:24.713Z,0,0,0.00,0.00
28868,2025-07-18T12:01:24.815Z,0,0,0.00,0.00
28869,2025-07-18T12:01:24.908Z,0,0,0.00,0.00
28870,2025-07-18T12:01:25.012Z,0,0,0.00,0.00
28871,2025-07-18T12:01:25.112Z,0,0,0.00,0.00
28872,2025-07-18T12:01:25.216Z,1,0,10.03,0.00
28873,2025-07-18T12:01:25.311Z,0,0,0.00,0.00
28874,2025-07-18T12:01:25.417Z,0,0,0.00,0.00
28875,2025-07-18T12:01:25.514Z,0,0,0.00,0.00
28876,2025-07-18T12:01:25.613Z,0,0,0.00,0.00
28877,2025-07-18T12:01:25.712Z,0,0,0.00,0.00
28878,2025-07-18T12:01:25.810Z,0,0,0.00,0.00
28879,2025-07-18T12:01:25.917Z,0,0,0.00,0.00
28880,2025-07-18T12:01:26.016Z,0,0,0.00,0.00
28881,2025-07-18T12:01:26.116Z,0,0,0.00,0.00
28882,2025-07-18T12:01:26.219Z,1,0,10.02,0.00
28883,2025-07-18T12:01:26.320Z,0,0,0.00,0.00
28884,2025-07-18T12:01:26.420Z,0,0,0.00,0.00
28885,2025-07-18T12:01:26.517Z,0,0,0.00,0.00
28886,2025-07-18T12:01:26.620Z,0,0,0.00,0.00
28887,2025-07-18T12:01:26.714Z,0,0,0.00,0.00
28888,2025-07-18T12:01:26.815Z,0,0,0.00,0.00
28889,2025-07-18T12:01:26.919Z,0,0,0.00,0.00
28890,2025-07-18T12:01:27.017Z,0,0,0.00,0.00
28891,2025-07-18T12:01:27.120Z,0,0,0.00,0.00
28892,2025-07-18T12:01:27.217Z,1,0,10.02,0.00
28893,2025-07-18T12:01:27.317Z,0,0,0.00,0.00
28894,2025-07-18T12:01:27.413Z,0,0,0.00,0.00
28895,2025-07-18T12:01:27.514Z,0,0,0.00,0.00
28896,2025-07-18T12:01:27.619Z,0,0,0.00,0.00
28897,2025-07-18T12:01:27.719Z,0,0,0.00,0.00
28898,2025-07-18T12:01:27.819Z,0,0,0.00,0.00
28899,2025-07-18T12:01:27.913Z,0,0,0.00,0.00
28900,2025-07-18T12:01:28.013Z,0,0,0.00,0.00
28901,2025-07-18T12:01:28.119Z,0,0,0.00,0.00
